,GLON,GLAT,PSRness
1,114.2502,-14.338059,Non-PSR
2,89.03272,-67.30501,Non-PSR
3,107.64935,-40.167652,Non-PSR
4,334.22635,-72.02855,Non-PSR
5,310.08493,-48.963467,Non-PSR
8,318.9899,-62.788944,Non-PSR
9,108.438545,-39.380795,Non-PSR
11,65.197784,-76.580986,Non-PSR
12,314.23904,-56.965885,Non-PSR
14,84.59542,-71.0751,Non-PSR
16,103.49598,-52.397846,Non-PSR
17,323.986,-67.53783,Non-PSR
20,113.23228,-23.613338,Non-PSR
21,93.64702,-66.62518,Non-PSR
22,100.47745,-59.29749,Non-PSR
25,113.93701,-21.972776,Non-PSR
26,115.31625,-15.033559,Non-PSR
27,335.9962,-74.58333,Non-PSR
29,50.26514,-79.690834,Non-PSR
30,107.72407,-46.6767,Non-PSR
33,104.480736,-54.868298,Non-PSR
36,116.12437,-11.803588,Non-PSR
38,0.6727207,-79.58928,Non-PSR
39,327.77505,-71.76617,Non-PSR
40,110.21874,-41.12827,Non-PSR
41,10.263708,-80.482315,Non-PSR
42,60.28118,-79.400505,Non-PSR
43,102.407234,-60.302692,Non-PSR
44,2.5585456,-80.23526,Non-PSR
45,119.6611,8.111637,Non-PSR
46,332.33987,-74.936165,Non-PSR
47,115.2578,-21.451033,Non-PSR
48,99.6602,-65.55318,Non-PSR
49,74.58781,-78.09192,Non-PSR
50,110.88994,-42.826824,Non-PSR
51,317.45294,-65.69481,Non-PSR
52,107.61855,-52.85195,Non-PSR
53,99.509476,-66.18239,Non-PSR
54,118.074745,-4.4981065,Non-PSR
55,118.5573,-1.257189,Non-PSR
56,114.00973,-30.021877,Non-PSR
57,114.71823,-26.677507,Non-PSR
58,117.8881,-6.6570644,Non-PSR
59,112.76397,-37.48992,Non-PSR
60,104.012276,-61.85269,Non-PSR
61,111.096794,-45.029816,Non-PSR
62,99.46171,-68.12262,Non-PSR
64,101.209854,-66.667816,Non-PSR
65,110.96526,-47.16783,Non-PSR
66,114.44117,-32.54827,Non-PSR
67,311.75082,-59.890987,Non-PSR
68,304.31436,-35.16209,Non-PSR
69,120.63282,10.72648,Non-PSR
70,112.90082,-41.875835,Non-PSR
71,108.237045,-58.623074,Non-PSR
