,Source_Name,RAJ2000,DEJ2000,GLON,GLAT,Conf_68_SemiMajor,Conf_68_SemiMinor,Conf_95_PosAng,ROI_num,Extended_Source_Name,Signif_Avg,Pivot_Energy,Flux1000,Unc_Flux1000,Energy_Flux100,Unc_Energy_Flux100,SpectrumType,PL_Flux_Density,Unc_PL_Flux_Density,PL_Index,Unc_PL_Index,LP_Flux_Density,Unc_LP_Flux_Density,LP_Index,Unc_LP_Index,LP_beta,LP_SigCurv,PLEC_Flux_Density,Unc_PLEC_Flux_Density,PLEC_Index,Unc_PLEC_Index,PLEC_Expfactor,Unc_PLEC_Expfactor,PLEC_Exp_Index,PLEC_SigCurv,Npred,Variability_Index,Frac_Variability,Unc_Frac_Variability,CLASS1,Flags,Flux50_100,Flux300_1000,Flux1000_3000,Flux3000_10000,Flux10000_30000,Flux30000_100000,AGNness,PSRness
1,4FGL J0001.2+4741,0.3126,47.6859,114.2502,-14.338059,0.036880292,0.033179928,-45.9,783,,4.19693,2365.8826,1.425261e-10,3.7061673e-11,1.6307984e-12,4.4813526e-13,PowerLaw,2.5819223e-14,6.712033e-15,2.1983633,0.18752055,2.6975699e-14,8.323841e-15,2.1732736,0.22415973,0.02462352,0.20407748,2.6204508e-14,7.285294e-15,2.1630445,0.27689606,0.00013105916,0.0008183531,0.6666667,0.1367607,204.54422,17.288631,0.65294766,0.38334727,bcu,0,7.151178954556414e-11,5.592959984035417e-10,1.2436668361814895e-10,2.5566288669454096e-11,3.476794806916983e-12,2.709615518070585e-12,AGN,Non-PSR
2,4FGL J0001.2-0747,0.3151,-7.7971,89.03272,-67.30501,0.018440146,0.017576728,64.1,1065,,22.748436,1272.3579,8.397412e-10,6.210809e-11,9.440178e-12,6.5065303e-13,PowerLaw,5.775262e-13,3.8504878e-14,2.1483262,0.052848384,6.168165e-13,4.9127437e-14,2.112588,0.06558173,0.04727811,1.417618,6.038487e-13,4.5671925e-14,2.024555,0.11915199,0.00087994453,0.000833099,0.6666667,1.3473072,964.35376,16.869194,0.21193315,0.10133888,bll,0,8.459673850325089e-09,2.6622608562121286e-09,5.641679345913531e-10,2.2159715729053175e-10,2.711014225609265e-11,7.646548325079827e-12,AGN,Non-PSR
3,4FGL J0001.5+2113,0.3815,21.2183,107.64935,-40.167652,0.026025891,0.02399069,-60.52,1052,,30.666046,376.39575,9.679271e-10,6.664196e-11,1.926035e-11,8.209581e-13,LogParabola,2.456884e-11,9.654817e-13,2.6801705,0.03160488,2.8544818e-11,1.3323774e-12,2.5975513,0.04493158,0.14800178,5.091225,2.770607e-11,1.2545347e-12,2.2559347,0.09734816,0.008391433,0.0019107913,0.6666667,5.1336784,3110.8848,920.6774,1.2660484,0.34029126,fsrq,0,6.076074043903645e-08,7.970705873105999e-09,9.529729227963912e-10,6.216166470451867e-11,7.739318016205914e-15,4.367664776721512e-16,AGN,Non-PSR
4,4FGL J0001.6-4156,0.4165,-41.9425,334.22635,-72.02855,0.04267753,0.03237818,44.09,1132,,11.464017,3475.903,2.808932e-10,3.8070012e-11,3.3864803e-12,4.9140433e-13,PowerLaw,2.4366343e-14,3.2843035e-15,1.8335938,0.097189896,2.5478741e-14,4.3022527e-15,1.7955886,0.13819773,0.025063045,0.40303585,2.5091259e-14,3.6336816e-15,1.7589177,0.16583534,0.00018568659,0.00036177432,0.6666667,0.52552384,241.04272,13.750535,0.40142947,0.20551187,bcu,0,1.0302515285331992e-08,2.9817215363436844e-10,1.5495503491447238e-10,8.855327582324435e-11,2.5096319120065935e-11,1.854978497195514e-11,AGN,Non-PSR
5,4FGL J0002.1-6728,0.5378,-67.4746,310.08493,-48.963467,0.021708801,0.019180218,52.51,758,,11.558185,4380.837,2.2861259e-10,3.4612122e-11,2.8217526e-12,4.3319076e-13,PowerLaw,1.31245875e-14,1.939184e-15,1.8019888,0.09519692,1.6348425e-14,2.8458242e-15,1.6902436,0.14996767,0.1313003,2.0598197,1.5736591e-14,2.6525603e-15,1.369492,0.26890424,0.0013444218,0.00085268216,0.6666667,2.2240562,206.59764,10.018329,0.27502185,0.25776622,bcu,0,1.9192892608543843e-08,1.8881333996301208e-10,1.4783245461114092e-10,5.844089795425944e-11,3.402160844712121e-11,7.833482994212826e-12,AGN,Non-PSR
7,4FGL J0002.8+6217,0.7201,62.2905,117.32041,-0.051036116,0.016528292,0.015788218,3.84,1389,,27.668653,1326.5831,2.568837e-09,1.2585273e-10,1.8611144e-11,1.5058056e-12,PLSuperExpCutoff,1.5252416e-12,7.322932e-14,2.4731266,0.034980703,2.1236194e-12,1.13342095e-13,2.3412225,0.07613683,0.42859668,9.461157,2.0840447e-12,1.088479e-13,1.1812959,0.19059318,0.0130063975,0.0018857798,0.6666667,9.680294,2344.4587,4.7018147,0.0,10.0,PSR,0,2.8459110068546067e-11,7.763123477388945e-09,2.1262820393275206e-09,3.2920832726546223e-10,1.7072552139368868e-12,1.6272709938704947e-15,Non-AGN,PSR
8,4FGL J0003.1-5248,0.7817,-52.8071,318.9899,-62.788944,0.020537019,0.018810183,-41.61,1240,,13.530244,3921.086,3.0080502e-10,4.0236574e-11,3.5972744e-12,4.8938463e-13,PowerLaw,2.0852484e-14,2.7380336e-15,1.845431,0.09169981,2.347271e-14,3.6631985e-15,1.7601653,0.12932381,0.07142608,1.2588248,2.2917007e-14,3.3108026e-15,1.600626,0.19333006,0.0006890638,0.0005297295,0.6666667,1.5307184,271.99768,5.567842,0.0,10.0,bcu,0,2.3693902742594197e-11,4.322872060313898e-10,1.804196930743629e-10,8.177999943903558e-11,3.182914001809145e-11,1.17469688490357e-11,AGN,Non-PSR
9,4FGL J0003.2+2207,0.8058,22.1302,108.438545,-39.380795,0.06006924,0.05328524,-75.21,1052,,4.199248,2339.043,1.4516446e-10,3.733854e-11,1.7323027e-12,5.317863e-13,PowerLaw,2.6846196e-14,6.8901514e-15,2.275706,0.22956596,2.3520065e-14,1.13899114e-14,0.43892384,0.5404578,0.99964654,1.7167196,2.898313e-14,1.0761166e-14,0.00074892124,0.05938773,0.010533763,0.0024197397,0.6666667,1.6868781,212.16591,4.7351174,0.0,9.999999,bll,0,1.2774459712261432e-08,5.78100567416584e-10,1.704875476904455e-11,6.386913914413483e-11,3.3597319804706816e-12,1.071724814689632e-17,AGN,Non-PSR
11,4FGL J0003.3-1928,0.8465,-19.4676,65.197784,-76.580986,0.04366429,0.037867054,-51.75,1189,,12.278203,1064.3081,3.9028367e-10,4.901146e-11,2.591246e-12,4.29249e-13,LogParabola,3.5360915e-13,4.0426934e-14,2.2405226,0.08540222,4.6742466e-13,6.4080916e-14,2.0111475,0.16471803,0.3160174,3.3564024,4.634253e-13,6.6443114e-14,1.031715,0.60530806,0.012400193,0.0064438046,0.6666667,3.3134677,324.63086,42.141415,0.75762665,0.24125251,bcu,0,5.547950120143863e-12,1.0348450985020463e-09,3.0900132452771345e-10,7.020704850813075e-11,4.167468453664114e-12,2.184719046568074e-15,AGN,Non-PSR
12,4FGL J0003.3-5905,0.8483,-59.0952,314.23904,-56.965885,0.07961949,0.04785804,25.98,852,,5.896742,1240.8265,1.312357e-10,2.7736946e-11,1.6756608e-12,3.413378e-13,PowerLaw,1.0760549e-13,2.0869745e-14,2.3632457,0.16532408,1.1125291e-13,2.462851e-14,2.3370025,0.21061169,0.025621843,0.2801407,1.1553711e-13,2.4504467e-14,2.0591555,0.4669434,0.0020896161,0.003027135,0.6666667,0.88149714,276.93393,3.44095,0.0,10.0,bcu,4,4.0785108623708766e-10,3.7620606629928943e-10,1.1309730929554007e-10,3.916978547069405e-11,1.952387438256876e-15,8.637818591159517e-16,AGN,Non-PSR
