,Source_Name,RAJ2000,DEJ2000,GLON,GLAT,Conf_68_SemiMajor,Conf_68_SemiMinor,Conf_95_PosAng,ROI_num,Extended_Source_Name,Signif_Avg,Pivot_Energy,Flux1000,Unc_Flux1000,Energy_Flux100,Unc_Energy_Flux100,SpectrumType,PL_Flux_Density,Unc_PL_Flux_Density,PL_Index,Unc_PL_Index,LP_Flux_Density,Unc_LP_Flux_Density,LP_Index,Unc_LP_Index,LP_beta,LP_SigCurv,PLEC_Flux_Density,Unc_PLEC_Flux_Density,PLEC_Index,Unc_PLEC_Index,PLEC_Expfactor,Unc_PLEC_Expfactor,PLEC_Exp_Index,PLEC_SigCurv,Npred,Variability_Index,Frac_Variability,Unc_Frac_Variability,CLASS1,Flags,Flux50_100,Flux300_1000,Flux1000_3000,Flux3000_10000,Flux10000_30000,Flux30000_100000,AGNness,PSRness
0,4FGL J0000.3-7355,0.0983,-73.922,307.70898,-42.729538,0.03237818,0.03145309,-62.7,881,,7.3996015,2430.1826,1.7194592e-10,3.1099776e-11,1.9200528999999997e-12,3.5204725e-13,PowerLaw,2.947622e-14,5.3317606999999996e-15,2.119125,0.14625444,3.2618748e-14,7.4857375e-15,1.9939947,0.25751528,0.08968772,0.6184386,3.2236714999999995e-14,6.6479775e-15,1.774046,0.39123338,0.0014664547,0.0016885875,0.6666667,1.1123048999999998,230.86677999999998,8.664629,0.0,10.0,unid,0,7.587582118162572e-09,4.787208962575562e-10,1.242424357839056e-10,4.5425080363870045e-11,1.0335509358083694e-11,1.8191017218087287e-15,Non-AGN,Non-PSR
1,4FGL J0003.3+2511,0.8323,25.1912,109.38163999999999,-36.411484,0.06296786,0.055567127,63.58,1342,,5.415019999999999,1612.2313,1.955273e-10,4.0432387e-11,2.2483308999999997e-12,4.538706e-13,PowerLaw,8.261102e-14,1.6599303e-14,2.209443,0.14801472,1.1706142e-13,2.8228132e-14,2.0722506000000003,0.31500685,0.41627398,2.1200377999999995,1.1387068e-13,2.889867e-14,0.9352438,1.0453527,0.011244542,0.009460228000000001,0.6666667,2.1316636000000004,266.37082000000004,2.5751872000000002,0.0,10.0,unid,0,1.984027941936972e-10,4.3734305066323026e-10,2.122610559540661e-10,3.844042792411351e-11,7.317213675250844e-12,6.116561792647578e-14,Non-AGN,Non-PSR
2,4FGL J0003.6+3059,0.9045,30.9898,111.00448600000001,-30.771994,0.04995491,0.04403433,-83.55,235,,10.7909,1367.2732,4.43417e-10,5.6665797e-11,2.0799907e-12,3.2992195999999997e-13,LogParabola,1.9733686e-13,2.4719207999999998e-14,2.2234127999999997,0.0903388,3.1771718e-13,4.7040440000000004e-14,1.7897901999999999,0.2737722,0.6783473000000001,4.395897,2.9846167e-13,4.5551084000000006e-14,0.34211475,0.8389943000000001,0.016968234,0.007885308,0.6666667,4.3715982,256.65842000000004,5.012474,0.0,9.999999,unid,0,2.8834146875711397e-11,5.533304370253235e-10,3.7955658060973013e-10,5.304442302067614e-11,4.055939611946613e-12,4.4167368364273024e-15,Non-AGN,Non-PSR
3,4FGL J0004.0+5715,1.0017,57.2578,116.52632,-5.0228662,0.052545164000000005,0.04113571,-8.21,1224,,7.6055784,1378.5641,3.7844097e-10,5.5553062e-11,5.1947790000000004e-12,8.269828000000002e-13,PowerLaw,2.4898472e-13,3.5269199999999997e-14,2.4375134,0.105088696,3.2116153e-13,5.3561226999999995e-14,2.2175759999999998,0.23494162,0.27710062,2.2947636,3.1334565e-13,5.0811805999999997e-14,1.5093087,0.5546416000000001,0.007663695600000001,0.0046581076,0.6666667,2.5032735,639.0414400000001,11.194632,0.33493520000000004,0.24744582,unid,0,4.08785678918111e-12,1.626468515425472e-09,3.394762804198592e-10,8.677113888522214e-11,5.141540405234624e-13,8.056328884682662e-16,Non-AGN,Non-PSR
4,4FGL J0004.4-4001,1.1184,-40.0251,336.9915,-73.84534000000001,0.08375157,0.05476538,56.16,1132,,6.4158683,1243.006,1.607204e-10,3.1723436e-11,2.1773763e-12,4.4111675999999997e-13,PowerLaw,1.3527981999999999e-13,2.4589352999999996e-14,2.4249508,0.16145362,1.298515e-13,2.7503152999999997e-14,2.4359622000000005,0.14729057,-0.027007917000000003,0.3422165,1.3514636e-13,2.5467448e-14,2.42853,0.21702,-3.1699197e-05,0.0010227567,0.6666667,0.03181112,359.73694,18.51724,0.4591955,0.26965204,unid,4,4.678851972528264e-09,4.911864803780475e-10,1.3772891160890308e-10,2.9036516246971903e-11,4.100726268968513e-12,1.7602591476442717e-12,Non-AGN,Non-PSR
5,4FGL J0005.6+6746,1.4155,67.7688,118.60843999999999,5.282127,0.116623126,0.09719622,19.83,162,,4.274817,1240.5938,4.0345924e-10,8.515858e-11,7.0578885999999995e-12,1.7011688000000002e-12,PowerLaw,3.732687e-13,7.670721599999999e-14,2.6314557,0.123103715,5.380503399999999e-13,1.0388683599999999e-13,2.6579450000000002,0.2878915,0.32071975,2.689085,5.240128e-13,1.1375337e-13,1.6596227,0.54935044,0.011101923,0.0065532030000000005,0.6666667,2.5248804,705.41327,6.0798764,0.0,10.0,unid,24,2.787843740581497e-13,3.1561191438100877e-09,4.584221613423977e-10,4.1843580683709185e-11,3.628635586450102e-12,3.6333615915327137e-16,Non-AGN,Non-PSR
6,4FGL J0006.6+4618,1.6697,46.3046,114.92035,-15.869719,0.039902255,0.034290037999999995,-81.84,783,,6.360635,1215.221,2.0399241999999999e-10,3.8924926e-11,3.0832372000000005e-12,6.6658175e-13,PowerLaw,1.8994302e-13,3.3369788e-14,2.521416,0.16298002,1.7608053e-13,3.4999040000000005e-14,2.5438134999999997,0.12419312,-0.050101988,0.88196373,1.8894927e-13,3.5686962e-14,2.5380664,0.15938121,-0.00010884978000000001,0.0012056957000000001,0.6666667,0.11330499,499.04717999999997,11.381886999999999,0.3666914,0.23504181,unid,0,1.60504587398691e-09,8.006209029076672e-10,1.128664731120388e-10,5.3090306456615715e-11,7.60355840789817e-12,2.897220278673926e-17,Non-AGN,Non-PSR
7,4FGL J0008.4+6926,2.1072,69.4409,119.14811,6.8857289999999995,0.05057164,0.033796657,57.42,162,,4.8184443,3047.6820000000002,3.2181469e-10,7.0034215e-11,4.1411015e-12,1.1954055e-12,PowerLaw,3.1451025e-14,6.579756999999999e-15,2.3719156000000003,0.15287279,3.590057700000001e-14,8.22856e-15,2.36654,0.22492553,0.10302104,1.0564419,3.6062712e-14,8.227008e-15,2.002679,0.42455059999999994,0.001981214,0.0021455833,0.6666667,1.1620682,442.72333,10.824399,0.48842349999999995,0.33695123,unid,0,1.14902533924108e-16,1.2881530286890095e-09,3.0515073801140597e-10,4.3140522404394594e-11,2.4069583132169114e-11,4.717009486833358e-16,Non-AGN,Non-PSR
8,4FGL J0008.9+2509,2.2358,25.1536,110.91511000000001,-36.72459,0.15529193,0.12106357,-6.18,1342,,5.4900064,369.76093,1.2917907e-10,3.3854790000000004e-11,3.3543296e-12,5.607274e-13,PowerLaw,4.2711793e-12,7.0604574e-13,2.8815272000000003,0.13344507,5.1749343e-12,9.798724e-13,2.7789402,0.213211,0.20584151,1.4755340000000001,5.0837485e-12,9.716014999999999e-13,2.2390637000000004,0.5522984999999999,0.013836718000000001,0.012305561000000001,0.6666667,1.5961556000000001,625.1925,10.521894999999999,0.33577204,0.27613127,unid,0,1.607893729271836e-08,1.3504112272855193e-09,1.3382542296547228e-10,1.1743713640433027e-12,8.108939816278346e-14,1.235319997116164e-16,Non-AGN,Non-PSR
9,4FGL J0009.1-5012,2.2962,-50.2107,319.3951,-65.54536,0.09651781599999999,0.082579784,-77.01,1240,,6.8421283,1061.3572,1.7297038999999998e-10,3.2171193e-11,2.3031045e-12,3.9614828000000004e-13,PowerLaw,2.1123494999999998e-13,3.502375e-14,2.4078472,0.13114569,2.4704734e-13,4.725753e-14,2.3247182,0.20013253,0.15148015,1.3759430000000001,2.4130573e-13,4.592824e-14,1.9471741000000002,0.4234309,0.0045731426,0.004305203400000001,0.6666667,1.488129,376.40472,14.287332000000001,0.50680614,0.27988428,unid,0,4.156543512157107e-11,8.579475463399433e-10,1.3811077281822293e-10,3.586812791223082e-11,6.948966684190706e-13,1.727185412141836e-15,Non-AGN,Non-PSR
