,Source_Name,RAJ2000,DEJ2000,GLON,GLAT,PL_Index,LP_Index,PLEC_Index,Variability_Index,Conf_95_PosAng,Signif_Avg,PL_Flux_Density,LP_Flux_Density,PLEC_Flux_Density,Unc_Energy_Flux100,LP_SigCurv,PLEC_SigCurv,CLASS1,ASSOC1,PL_hr12,PL_hr23,PL_hr34,PL_hr45,PL_hr56,LP_hr12,LP_hr23,LP_hr34,LP_hr45,LP_hr56,PLEC_hr12,PLEC_hr23,PLEC_hr34,PLEC_hr45,PLEC_hr56,agnness,PSRness
1,4FGL J0001.2+4741 ,0.3126,47.6859,114.2502,-14.338059,2.1983633,2.1732736,2.1630445,2.8500493,-45.9,4.19693,-31.287657,-31.24384,-31.272844,-28.433681,-1.5892556,-1.9895226,bcu,B3 2358+474                 ,0.999060043234755,-0.12262871327123487,-0.2619123869295994,-0.3532118027525263,0.37837970066671095,0.9990605752762582,-0.12290767227824581,-0.261648568228388,-0.35345969220135603,0.3786223665627513,0.9990607893223871,-0.12301990886272594,-0.26154241668921646,-0.35355940692364496,0.3787199818965222,AGN,Non-PSR
2,4FGL J0001.2-0747 ,0.3151,-7.7971,89.03272,-67.30501,2.1483262,2.112588,2.024555,2.825489,64.1,22.748436,-28.180023,-28.114204,-28.135452,-28.0608,0.348978,0.29810795,bll,PMN J0001-0746              ,0.04913788218237543,-0.14680722944087304,0.05607451615951293,-0.3990873215379451,-0.10901301043945456,0.049523567676891006,-0.14718546266349336,0.05645985775938043,-0.3994122573336851,-0.10863103514434161,0.050426525291173516,-0.1480709779783661,0.05736218187284063,-0.4001728097954757,-0.10773639688505413,AGN,Non-PSR
3,4FGL J0001.5+2113 ,0.3815,21.2183,107.64935,-40.167652,2.6801705,2.5975513,2.2559347,6.82511,-60.52,30.666046,-24.429543,-24.279545,-24.30937,-27.828304,1.6275185,1.6358224,fsrq,TXS 2358+209                ,-0.24128833577610614,-0.4028831823946144,-0.6902935881933725,-0.99911392272122,-0.7263358629276842,-0.24013482678042497,-0.40390836677013076,-0.6896520415383663,-0.9991160890163874,-0.7257568816245247,-0.23587326252295857,-0.40768193327059565,-0.6872757913278272,-0.9991240356827931,-0.7236118282687967,AGN,Non-PSR
4,4FGL J0001.6-4156 ,0.4165,-41.9425,334.22635,-72.02855,1.8335938,1.7955886,1.7589177,2.6210778,44.09,11.464017,-31.345573,-31.300932,-31.316257,-28.341509,-0.9087298,-0.6433597,bcu,1RXS J000135.5-415519       ,-0.5492438827814108,0.2891394139656937,0.2417503912352056,-0.005546611213513528,0.35858932349652106,-0.5490315277160073,0.2888607785240309,0.2420366378103734,-0.005850610445251393,0.35885421182742655,-0.5488354589688732,0.2886035535133182,0.24230080092736275,-0.0061312767802977,0.3590987074900727,AGN,Non-PSR
5,4FGL J0002.1-6728 ,0.5378,-67.4746,310.08493,-48.963467,1.8019888,1.6902436,1.369492,2.3044162,52.51,11.558185,-31.964289,-31.744644,-31.782787,-28.467598,0.72261846,0.7993327,bcu,SUMSS J000215-672653        ,-0.13493902732548163,0.4639252716789757,0.06253782417449073,0.3400341484709163,-0.20470931935246783,-0.13413145989950126,0.4632795754128754,0.06335704319789055,0.33930656337423043,-0.2039211740722803,-0.1324665240055907,0.4619472967657521,0.0650450658254208,0.3378058374838596,-0.2022960712534757,AGN,Non-PSR
7,4FGL J0002.8+6217 ,0.7201,62.2905,117.32041,-0.051036116,2.4731266,2.3412225,1.1812959,1.5479485,3.84,27.668653,-27.208868,-26.8779,-26.896711,-27.221693,2.2471948,2.2700922,PSR,PSR J0002+6216              ,0.47865561589244904,-0.01559290771378718,-0.39130316345721755,-0.9639562388670421,-0.9946277941317491,0.47998481255156505,-0.01731814389547558,-0.3898407302941141,-0.9640781940216924,-0.9946092708038723,0.4865633883962488,-0.025897422987406323,-0.38253757913802944,-0.9646787892654712,-0.9945161875425451,Non-AGN,PSR
8,4FGL J0003.1-5248 ,0.7817,-52.8071,318.9899,-62.788944,1.845431,1.7601653,1.600626,1.7170075,-41.61,13.530244,-31.501303,-31.382938,-31.406897,-28.345627,0.23017861,0.4257372,bcu,RBS 0006                    ,-0.42476634098994265,0.18590307542222617,0.12993488206702547,0.15198050331881077,0.02789943526285832,-0.42421477332598606,0.18525343689395124,0.1305962692331024,0.15132321741076582,0.028571645654620174,-0.423332855826457,0.18421517932545872,0.13165275290859985,0.15027266197485856,0.0296457357741817,AGN,Non-PSR
9,4FGL J0003.2+2207 ,0.8058,22.1302,108.438545,-39.380795,2.275706,0.43892384,0.00074892124,1.5550065,-75.21,4.199248,-31.248652,-31.380922,-31.172062,-28.262535,0.5404153,0.52287954,bll,2MASX J00032450+2204559     ,-0.5509620899863812,-0.8118582086176437,0.8281732563334686,-0.6874519444743915,-0.9999818810548342,-0.5465148357116318,-0.8140162172095743,0.8301616638274502,-0.690793384961669,-0.9999816489879358,-0.5488658861974887,-0.8128800393035676,0.8291148506187141,-0.6890335196418103,-0.9999817718356869,AGN,Non-PSR
11,4FGL J0003.3-1928 ,0.8465,-19.4676,65.197784,-76.580986,2.2405226,2.0111475,1.031715,3.741031,-51.75,12.278203,-28.670584,-28.391539,-28.400131,-28.47674,1.2108697,1.1979953,bcu,PKS 0000-197                ,0.48685287302583014,0.024625261493188322,-0.2151993633844592,-0.6544875636832878,-0.9970242391093374,0.48873592573478786,0.022155597377295118,-0.21284150891716494,-0.6558978230462467,-0.997009518438318,0.4925697013703486,0.017108221296182446,-0.20801580751069146,-0.6587654017486505,-0.9969792112898928,AGN,Non-PSR
12,4FGL J0003.3-5905 ,0.8483,-59.0952,314.23904,-56.965885,2.3632457,2.3370025,2.0591555,1.2357476,25.98,5.896742,-29.860304,-29.826971,-29.789185,-28.705904,-1.2724633,-0.12613352,bcu,PMN J0003-5905              ,-0.5640342104393044,0.029510830161891998,-0.009342277682463278,-0.9996482920285571,0.11260528244329462,-0.5638080931562384,0.029179554659938753,-0.009010735697567959,-0.9996485251490258,0.11293268143220729,-0.5616471026547923,0.026019589879129553,-0.005848513710765894,-0.9996507407743459,0.11605363882053796,AGN,Non-PSR
14,4FGL J0003.9-1149 ,0.9986,-11.8251,84.59542,-71.0751,2.1277146,2.0007017,1.3456585,1.5524747,-31.93,10.233945,-29.85736,-29.567774,-29.603523,-28.447565,1.0177541,1.0046328,bll,PMN J0004-1148              ,0.2156052871164809,0.13220939815766672,-0.1795410895682404,-0.16025867910418728,-0.999999989017164,0.2168455906945742,0.13093084195098426,-0.1782816014384119,-0.16152619442832075,-0.999999988988546,0.2209873467095137,0.12665275254099498,-0.17406642536602387,-0.16575984921501244,-0.9999999888923244,AGN,Non-PSR
16,4FGL J0004.0+0840 ,1.0073,8.6757,103.49598,-52.397846,2.1019166,1.6877342,1.0804646,2.201359,-56.38,6.7910714,-30.716436,-30.436108,-30.489594,-28.40724,0.6522945,0.6965325,bcu,SDSS J000359.23+084138.1    ,-0.5795504764409697,0.3433594973096827,0.16687194764493096,-0.7676086376086539,0.11860292896742028,-0.5771465125182388,0.34016922350096906,0.17038144319750337,-0.7690883400314201,0.12216278600680307,-0.5755884781241193,0.3381044940858694,0.17264588557003543,-0.7700396912421112,0.12446035549976543,AGN,Non-PSR
17,4FGL J0004.4-4737 ,1.1091,-47.6233,323.986,-67.53783,2.4149895,2.3563406,2.161555,4.8155365,-9.35,19.205418,-27.599432,-27.517164,-27.52792,-28.381954,0.4995081,0.74397755,fsrq,PKS 0002-478                ,-0.20933687776798565,-0.20702284563169723,-0.2171194591741176,-0.6299907695112307,-0.9991384426289386,-0.20861246056944888,-0.20774776596148856,-0.21639754928911928,-0.6304474080765219,-0.9991371369216292,-0.20639584969097866,-0.20996305124863984,-0.214188624294225,-0.6318410372761064,-0.9991331320204666,AGN,Non-PSR
20,4FGL J0005.9+3824 ,1.4986,38.401,113.23228,-23.613338,2.6667964,2.6316638,2.199851,3.1472511,60.9,14.65977,-26.28978,-26.127653,-26.142551,-28.049593,0.92856026,0.9249073,fsrq,S4 0003+38                  ,-0.2517791368375419,-0.42736088551900264,-0.5882606847766487,-0.9158344020724903,-0.9943793776293239,-0.2512889428594222,-0.42778853641337505,-0.5879183846469621,-0.9159187410852743,-0.9943735082603822,-0.24596953868144555,-0.43240959478805546,-0.5841958754482613,-0.9168273935752456,-0.9943095244086845,AGN,Non-PSR
21,4FGL J0006.3-0620 ,1.5992,-6.3493,93.64702,-66.62518,2.1706007,2.0629766,1.3517041,2.9017498,-82.71,4.12492,-31.076872,-30.763132,-30.799894,-28.594185,0.36357045,0.35275447,bll,CGRaBS J0006-0623           ,0.0059878117993415764,-0.1637433766274077,0.2616890840627764,-0.28858959586224714,-0.9995664705363911,0.0071394481406912335,-0.16486396675383677,0.26276156296281866,-0.2896449861986294,-0.9995654710713697,0.012088353203282177,-0.16967483760905,0.2673632110358961,-0.29417265548620464,-0.9995611492973526,AGN,Non-PSR
22,4FGL J0006.4+0135 ,1.6094,1.5982,100.47745,-59.29749,2.0946035,1.9011818,1.4802004,0.88195175,56.38,6.145243,-31.151543,-30.978313,-30.985899,-28.505901,0.05402817,0.28417164,bcu,NVSS J000626+013611         ,-0.03900563258201887,0.10323339277957629,0.024728731731307334,-0.11431423575954548,-0.9982164592449491,-0.03714001242640564,0.10138465683791503,0.026595797327060234,-0.11615775098961716,-0.9982097884104183,-0.0342705209351655,0.0985401925111137,0.029466714678560445,-0.11899119935126029,-0.9981994808898201,AGN,Non-PSR
24,4FGL J0007.0+7303 ,1.768,73.0512,119.66263,10.46168,2.027981,1.8605095,1.0445546,1.4167521,-49.42,329.09354,-24.348549,-24.01624,-24.051435,-26.391586,4.1336946,4.15021,PSR,PSR J0007+7303              ,0.326548736860708,0.21086152089473853,-0.06106113593644824,-0.5036702360402305,-0.8102470362367421,0.32792157313703346,0.20939191343584115,-0.05952923517067834,-0.5048167616154946,-0.8097182551330446,0.3311948300387521,0.2058781645694571,-0.055869420939986626,-0.5075479880188616,-0.8084499829808969,Non-AGN,PSR
25,4FGL J0007.7+4008 ,1.9275,40.134,113.93701,-21.972776,2.1567848,1.9334263,1.3994917,2.8828733,73.04,11.106481,-29.847666,-29.633926,-29.659508,-28.32687,0.9392527,1.048802,bcu,NVSS J000741+400830         ,0.14851108107596317,-0.1377554572855147,0.1484970157837192,-0.48798964258127575,-0.9994090893004606,0.150710758639501,-0.13996209833625764,0.15069671138186314,-0.48970199824918337,-0.9994064249636744,0.15414628476287878,-0.14340876019562035,0.1541322156275388,-0.49237115521525004,-0.9994022359545833,AGN,Non-PSR
