,RAJ2000,DEJ2000,GLON,GLAT,PL_Index,LP_Index,PLEC_Index,Variability_Index,Signif_Avg,PL_Flux_Density,LP_Flux_Density,PLEC_Flux_Density,Unc_Energy_Flux100,LP_SigCurv,PLEC_SigCurv,PL_hr12,PL_hr23,PL_hr34,PL_hr45,PL_hr56,LP_hr12,LP_hr23,LP_hr34,LP_hr45,LP_hr56,PLEC_hr12,PLEC_hr23,PLEC_hr34,PLEC_hr45,PLEC_hr56
0,0.0983,-73.922,307.70898,-42.729538,2.119125,1.9939947,1.774046,2.159249,7.3996015,-31.155193,-31.053888,-31.06567,-28.67501,-0.48055735,0.106434375,0.9781612086241962,-0.046810209006138255,0.020607401577704722,-0.11216841156874892,-0.9989972019981899,0.9782161574482829,-0.048080830067562474,0.021880328171591832,-0.1134257163162389,-0.9989946459944773,0.978297842002355,-0.049975320197929725,0.023778384697339956,-0.11529995300143367,-0.9989908221142311
10,0.8323,25.1912,109.38164,-36.411484,2.209443,2.0722506,0.9352438,0.94592226,5.41502,-30.124634,-29.776077,-29.803713,-28.420963,0.7514339,0.7569027,-0.1256167279315252,0.26097041200980986,-0.3200124618278341,-0.1981825706708176,-0.9535494283046008,-0.12414409586671449,0.2595757801665361,-0.3186690151663676,-0.199619419552837,-0.9534134815271635,-0.11857985146323739,0.25430121866087635,-0.31358605069448287,-0.205035541392647,-0.9528967810446949
13,0.9045,30.9898,111.004486,-30.771994,2.2234128,1.7897902,0.34211475,1.6119297,10.7909,-29.253864,-28.777615,-28.840136,-28.73992,1.4806716,1.4751287,0.2032778425676889,0.4138809588382357,-0.4312291365896198,-0.5761714020409218,-0.9938260624208123,0.20731560884924113,0.41038155904503687,-0.4277914050446541,-0.5789805791136403,-0.9937739532733681,0.20821817477249266,0.4095967918930316,-0.42702039484906906,-0.5796073333885141,-0.9937622328066452
15,1.0017,57.2578,116.52632,-5.0228662,2.4375134,2.217576,1.5093087,2.4154344,7.6055784,-29.021385,-28.766832,-28.79147,-27.820993,0.8306298,0.91759926,0.6394940774345108,-0.15079095750259097,-0.16079621232802727,-0.9589608709761036,-0.9911753185071183,0.6411094109714559,-0.15346540337683084,-0.15812797733720033,-0.9591804030934501,-0.9911270801774723,0.6446030103089719,-0.1592741223206121,-0.15231712424482677,-0.959653878200068,-0.99102126067454
18,1.1184,-40.0251,336.9915,-73.84534,2.4249508,2.4359622,2.42853,2.9187021,6.4158683,-29.631432,-29.672384,-29.632418,-28.449467,-1.0723118,-3.4479394,-0.4847930112283189,-0.004503429853732906,-0.2527410945619618,-0.33409463049907434,0.0968714971741285,-0.48490471179393163,-0.004357429337169466,-0.25287779029184715,-0.3339648949102255,0.09672687684179983,-0.48482926677258137,-0.004456054449874998,-0.25278546792258694,-0.3340525279732046,0.09682458364639437
19,1.4155,67.7688,118.60844,5.282127,2.6314557,2.657945,1.6596227,1.8049843,4.274817,-28.616478,-28.250824,-28.27726,-27.099705,0.989201,0.9261937,0.9915617322426711,-0.3189671818821716,-0.5913832313935573,-0.5287321891947611,-0.9994368149900307,0.9915551146476617,-0.3186135191696253,-0.5916391622815214,-0.5284485451965487,-0.9994372580331317,0.9917370737721223,-0.3284055446712707,-0.5844846367010451,-0.5362855542965227,-0.9994248168597635
23,1.6697,46.3046,114.92035,-15.869719,2.521416,2.5438135,2.5380664,2.4320233,6.360635,-29.292053,-29.367834,-29.297298,-28.036613,-0.12560435,-2.1776721,-0.657105425322522,-0.33372556860097335,0.14067179589435777,-0.3266851554614144,-0.9999784949092697,-0.6572841090797821,-0.3334460271255521,0.14036345519354085,-0.3264041453263549,-0.9999785084321465,-0.6572380456244701,-0.3335180839523983,0.14044293766221388,-0.32647659425216957,-0.9999785049472002
28,2.1072,69.4409,119.14811,6.885729,2.3719156,2.36654,2.002679,2.3818028,4.8184443,-31.090345,-30.958023,-30.953518,-27.452536,0.054906566,0.1502014,0.999886192396063,-0.08926675857601354,-0.4280063832855622,0.32642125834235547,-0.9998889562534742,0.9998862080374851,-0.08933492475338926,-0.42795027679811964,0.3263598784584973,-0.9998889409915237,0.9998871368557263,-0.09339891302218314,-0.4245967472434346,0.32269333024219987,-0.9998880270288455
31,2.2358,25.1536,110.91511,-36.72459,2.8815272,2.7789402,2.2390637,2.3534584,5.4900064,-26.17913,-25.987194,-26.004972,-28.209541,0.38901994,0.46759802,-0.039796171901996205,-0.47595948907082153,-0.9521843754634907,-0.6033519402926786,-0.9915319227795406,-0.03814338067278168,-0.4772387910344293,-0.9520296173258443,-0.6044036121061239,-0.9915039609951088,-0.030684501940501895,-0.48298511501260816,-0.9513253464194076,-0.6091219898459621,-0.9913766672652244
32,2.2962,-50.2107,319.3951,-65.54536,2.4078472,2.3247182,1.9471741,2.6593733,6.8421283,-29.185806,-29.029196,-29.052711,-28.556988,0.31913927,0.39751965,-0.10847250731066228,-0.27494339336588186,-0.15264817816334653,-0.8718836611861254,-0.98602699760319,-0.10742385152808741,-0.2759239521606539,-0.1516117402493366,-0.8721378643945717,-0.9859975241071499,-0.10337306552563587,-0.2797040940916925,-0.14760708707285658,-0.8731149352818169,-0.985883148527358
