,RAJ2000,DEJ2000,GLON,GLAT,PL_Index,LP_Index,PLEC_Index,Variability_Index,Signif_Avg,PL_Flux_Density,LP_Flux_Density,PLEC_Flux_Density,Unc_Energy_Flux100,LP_SigCurv,PLEC_SigCurv,PL_hr12,PL_hr23,PL_hr34,PL_hr45,PL_hr56,LP_hr12,LP_hr23,LP_hr34,LP_hr45,LP_hr56,PLEC_hr12,PLEC_hr23,PLEC_hr34,PLEC_hr45,PLEC_hr56,PSRness
0,-2.363133,-1.5311934,0.8898027,-1.6181036,-0.99158454,-0.7067411,0.50441676,0.49034116,-0.093443766,-0.98231626,-1.0619022,-1.0545628,-1.1403098,-1.3050545,-0.5432509,1.3510726921553065,-0.062354630761261166,0.8105378512726125,0.748718254414564,-0.8733979633718756,1.3506962070247215,-0.06419382167649819,0.8113263121718665,0.7464954935598507,-0.8734324737453903,1.3472263623313856,-0.057304186482598406,0.8078340101694951,0.7480475440224262,-0.8746390007609526,Non-PSR
10,-2.354927,1.0634136,-0.655254,-1.3743116,-0.64732116,-0.5202632,-0.5881515,-1.4578626,-0.48857155,-0.41198266,-0.37658453,-0.37774444,-0.8451701,0.0264776,0.09765951,-0.5491976347352633,0.7016165986472882,-0.14160208471302171,0.575930233095623,-0.8122565740575225,-0.5475579621300884,0.700609863230253,-0.1393003571721516,0.5733521364507145,-0.8121125902805735,-0.5452102273023575,0.697133945233324,-0.13609079555772252,0.567575259725716,-0.8126728674786752,Non-PSR
13,-2.35412,1.2152107,-0.6426113,-1.1567029,-0.5940734,-1.1933452,-1.3607223,-0.3884738,0.58175975,0.06991973,0.15891255,0.13904549,-1.2157178,0.81463534,0.805332,0.017029114591977115,1.08117024976554,-0.45248776392587936,-0.18338594153089088,-0.8664411724797421,0.023212586328804335,1.0754980065526063,-0.4439101180487397,-0.18869732025812141,-0.8664091281813778,0.018612472304746223,1.0821813845542594,-0.4534730683647376,-0.18574711934975774,-0.8676099910583018,Non-PSR
15,-2.3530333,1.90286,-0.5995938,-0.16313219,0.2220079,-0.17396364,0.15958752,0.9016905,-0.052433997,0.19857861,0.16469531,0.16514625,-0.14815482,0.11207229,0.25599483,0.7680214471729091,-0.32045502708069007,0.30345754302257477,-0.9523457919730903,-0.8628750975671952,0.7702015048386512,-0.32616937272325125,0.3088420194617077,-0.9524314612019085,-0.8628483163486114,0.7715046451059994,-0.32830498194809576,0.3151296773176418,-0.9500800814538884,-0.8639251884131005,Non-PSR
18,-2.3517287,-0.643833,1.1179261,-2.8187559,0.17412372,0.3464342,1.3569045,1.7097731,-0.28930384,-0.13903406,-0.32097173,-0.28587466,-0.878284,-1.9446207,-4.0453973,-1.1675575517685226,0.042659005167767425,0.046442601471161,0.30290569694642056,0.6008862386496596,-1.168784408921265,0.044498196901664205,0.04435259708552679,0.3034829262608419,0.6006307029071903,-1.1770981748760758,0.05555850722635859,0.03402547118630473,0.3081019482034044,0.5985111485978067,Non-PSR
19,-2.348407,2.1780193,-0.58337325,0.23450224,0.9612524,0.87540233,0.35537657,-0.078491494,-0.7155846,0.4226629,0.44144174,0.44092944,0.68980265,0.2834555,0.264463,1.3741431092687748,-0.7379010523452203,-0.9001689650451051,-0.08808851833700357,-0.8739893795601139,1.3736657680550237,-0.7367111368596656,-0.9012830385626308,-0.08719006780904684,-0.8740279152824287,1.3704129893265253,-0.7476577022440812,-0.8940482692642714,-0.09862025505101424,-0.8752224379172849,Non-PSR
23,-2.3455653,1.6161249,-0.612105,-0.5816751,0.54181707,0.6034357,1.4995793,0.92832685,-0.30030078,0.048785158,-0.1576349,-0.10614207,-0.3986515,-0.9214224,-2.7937953,-1.4642115766531416,-0.7745342322005093,1.1461556968552287,0.3177900897502857,-0.8747181075072572,-1.4656201380672036,-0.7735832740533692,1.1420661083797923,0.3186707359970062,-0.8747560540165031,-1.474554020151337,-0.7603339821769484,1.1342542072620618,0.32333833422179203,-0.8759667838029309,Non-PSR
28,-2.3406742,2.221792,-0.5791689,0.29637975,-0.0280293,0.18100622,0.8022192,0.8476893,-0.60734904,-0.94642806,-1.0104876,-0.99441284,0.27990118,-0.7263269,-0.500127,1.388474546864126,-0.16774002593096532,-0.44347915211462513,1.6297713510906502,-0.8745976501697958,1.3880118338835885,-0.16674739141519065,-0.44435360070053237,1.629923765327205,-0.8746355598368258,1.3844742449059917,-0.16497076625109167,-0.446691852399745,1.628920447969802,-0.8758451505805497,Non-PSR
31,-2.3392365,1.0624293,-0.6433076,-1.3863933,1.914443,1.163725,1.1101183,0.8021775,-0.47364184,1.7715429,1.6554753,1.6596124,-0.59955055,-0.36521822,-0.18739416,-0.40144848097970554,-1.1275864247858158,-1.9087219448496988,-0.23798708478373348,-0.8633548412131289,-0.3994655253098635,-1.1310377607837412,-1.907295191116302,-0.23976635563918755,-0.8633553303331745,-0.39356490122235444,-1.1309298489799304,-1.9204458658324277,-0.2451057034589566,-0.8644029762498089,Non-PSR
32,-2.3385613,-0.9104738,0.9808427,-2.498488,0.10893013,0.0813482,0.72992206,1.2933762,-0.204436,0.107584484,0.023984138,0.025035862,-1.0031966,-0.44074503,-0.25644282,-0.5196820477276527,-0.6286254659714143,0.32623386807420923,-0.7774222800925586,-0.8559490048871767,-0.5187658558929121,-0.6305891259245129,0.32703177340096123,-0.7775829885674646,-0.8559475760069737,-0.5189740495676083,-0.6269049438325566,0.3283080697506092,-0.7760367504959267,-0.8570178109138865,Non-PSR
