,GLON,GLAT,PSRness
7,117.32041,-0.051036116,PSR
24,119.66263,10.46168,PSR
79,111.42019,-52.896538,PSR
101,113.13404,-57.6126,PSR
111,111.5037,-68.07345,PSR
201,301.18915,-52.72691,PSR
213,124.87597,-14.169549,PSR
221,125.46872,-13.870953,PSR
384,130.72845,3.082402,PSR
429,139.51102,-17.517557,PSR
528,136.91101,0.7087233,PSR
535,153.88417,-29.494312,PSR
580,131.70383,14.219043,PSR
619,178.4356,-43.58662,PSR
680,153.78671,-11.023723,PSR
723,162.75955,-16.015846,PSR
733,148.23413,0.88509154,PSR
825,253.39726,-41.965046,PSR
988,144.7663,18.186531,PSR
995,184.55891,-5.7813134,PSR
1018,279.72293,-31.500132,PSR
1053,179.07896,2.711548,PSR
1106,227.73994,-18.179985,PSR
1120,210.42276,-9.305033,PSR
1121,240.50008,-21.827698,PSR
1170,201.23578,0.45441255,PSR
1171,204.68307,-1.2446551,PSR
1175,205.09274,-0.9284467,PSR
1177,195.13522,4.2729836,PSR
1246,201.06758,8.267973,PSR
1334,230.35905,1.4669509,PSR
1356,232.06425,2.0129435,PSR
1368,149.76492,29.624397,PSR
1375,243.77777,-2.4421082,PSR
1413,202.72173,21.103653,PSR
1559,263.5537,-2.7877266,PSR
1662,270.2613,-0.9874299,PSR
1760,277.53397,-1.2839376,PSR
1803,283.70724,-5.742348,PSR
1848,274.20996,11.230153,PSR
1867,284.08527,-1.8823143,PSR
1887,283.84183,-0.68727744,PSR
1895,284.16766,-0.39783877,PSR
1903,251.66599,40.492443,PSR
1920,285.07062,-0.49183276,PSR
1943,290.372,-7.84417,PSR
1949,298.94846,-21.510082,PSR
1971,286.57004,1.1563393,PSR
1986,287.4301,0.5739922,PSR
1990,213.13654,62.1343,PSR
2010,289.14078,-0.73610795,PSR
2018,285.98688,6.64635,PSR
2048,290.23474,-0.4112323,PSR
2052,290.49976,-0.8623333,PSR
2076,291.027,-0.10992676,PSR
2078,291.23538,-0.53816867,PSR
2099,292.13312,-0.53448015,PSR
2118,284.106,22.756853,PSR
2122,292.04166,1.764487,PSR
