,columns,rank
17,PLEC_SigCurv,23.98374786
14,PLEC_Expfactor,17.55290165
23,Flux1000_3000,14.79924477
11,LP_beta,10.17846937
8,Unc_PL_Index,5.468424946
4,Unc_Energy_Flux100,4.776505016
20,Frac_Variability,3.722050483
19,Variability_Index,3.169243696
18,Energy_Flux100,2.998864618
12,PLEC_Index,2.645874442
2,Signif_Avg,2.268789839
15,Unc_PLEC_Expfactor,1.997531175
5,PL_Flux_Density,1.72070296
10,Unc_LP_Index,1.267600698
13,Unc_PLEC_Index,0.82441071
0,Conf_68_SemiMajor,0.574399778
3,Pivot_Energy,0.46258105
6,Unc_PL_Flux_Density,0.40027628
7,PL_Index,0.375233639
9,LP_Index,0.240843519
24,Flux10000_30000,0.186519888
21,Unc_Frac_Variability,0.174574362
22,Flux50_100,0.093722561
25,Flux30000_100000,0.083964213
1,Conf_95_PosAng,0.033522475
16,PLEC_Exp_Index,0
