,columns,rank
16,PLEC_Exp_Index,0.0
1,Conf_95_PosAng,0.29203530487968105
25,Flux30000_100000,0.38846271009507477
22,Flux50_100,0.4607515376145667
24,Flux10000_30000,0.46585641654061344
21,Unc_Frac_Variability,0.6487202588160452
7,PL_Index,1.08487149826409
13,Unc_PLEC_Index,1.3268757096316708
0,Conf_68_SemiMajor,1.6501347347373267
3,Pivot_Energy,1.7633814006313226
6,Unc_PL_Flux_Density,1.8781992308792794
9,LP_Index,2.105195406602596
5,PL_Flux_Density,3.4826247125411616
12,PLEC_Index,8.708199520423896
18,Energy_Flux100,9.335387068648243
15,Unc_PLEC_Expfactor,9.38646586145486
2,Signif_Avg,11.768849723518777
4,Unc_Energy_Flux100,13.678219624398253
19,Variability_Index,17.62668404058681
10,Unc_LP_Index,17.87857605396215
8,Unc_PL_Index,20.59851698093917
20,Frac_Variability,24.329108523826005
11,LP_beta,32.962194023730014
23,Flux1000_3000,44.260736442116695
14,PLEC_Expfactor,47.54862086647143
17,PLEC_SigCurv,100.0
