,GLON,GLAT,proba_AGN,proba_PSR,label
2,111.004486,-30.771994,0.4617022835705539,0.5382977164294461,Otherlike
10,119.10994,6.235327,0.2821338972119265,0.7178661027880735,Otherlike
24,121.53531,0.12189149,0.6246430730314299,0.37535692696857015,Otherlike
28,303.44296,-53.33411,0.639516841006684,0.3604831589933159,Otherlike
42,125.19039,6.481079599999998,0.30900016327091995,0.69099983672908,Otherlike
52,192.49397,-78.132126,0.8226618582707856,0.17733814172921436,Otherlike
64,130.0389,5.082897,0.8217289229757035,0.17827107702429648,Otherlike
67,134.92581,-7.630408999999998,0.11300579787088116,0.8869942021291188,Otherlike
101,146.91196000000005,-4.6963550000000005,0.8941849805053591,0.10581501949464088,Otherlike
102,142.34935,2.021978,0.799244216884112,0.20075578311588807,Otherlike
105,133.08284,15.5278635,0.3974502230253666,0.6025497769746334,Otherlike
107,146.7922,-1.821867,0.618472571690158,0.38152742830984204,Otherlike
111,278.07047,-43.70364,0.42108476105268855,0.5789152389473115,Otherlike
112,165.09822,-18.356842,0.823873922035409,0.17612607796459095,Otherlike
113,159.98468,-12.574114,0.36158029662831137,0.6384197033716886,Otherlike
126,150.87962,3.8203735,0.4588372941410749,0.5411627058589251,Otherlike
140,175.91547,-13.05345,0.7944821076046795,0.20551789239532048,Otherlike
147,157.9172,5.7684875,0.3842000520673211,0.6157999479326789,Otherlike
151,228.18494,-29.828896000000004,0.11007340906747476,0.8899265909325252,Otherlike
159,152.25753999999995,14.167839,0.6213907986753111,0.37860920132468884,Otherlike
170,173.27489,2.937252,0.16818128752322126,0.8318187124767787,Otherlike
175,152.54977,15.737077,0.8349819004545522,0.16501809954544772,Otherlike
180,201.70981,-10.96619,0.6059461223789548,0.39405387762104516,Otherlike
182,205.31055,-12.360212,0.700553392885084,0.29944660711491594,Otherlike
186,204.73898,-11.639255,0.26890888233030563,0.7310911176696944,Otherlike
191,188.98703,0.89292365,0.16445764250027017,0.8355423574997298,Otherlike
200,189.14917,3.424281,0.6532056688221571,0.34679433117784286,Otherlike
216,169.2314,19.763712,0.611921592297513,0.388078407702487,Otherlike
222,180.7958,17.265383,0.8926656466219682,0.10733435337803172,Otherlike
