,model name,TSS Value,setting,TP,FN,TN,FP
0,サポートベクターマシン(ploy),0.6618525139313367,"{'C': 10, 'class_weight': 'balanced', 'degree': 1, 'gamma': 0.8000000000000003, 'kernel': 'poly'}",195,34,675,158
1,サポートベクターマシン(RBFカーネル),0.6483169687088809,"{'C': 9, 'class_weight': 'balanced', 'degree': 1, 'gamma': 0.01, 'kernel': 'rbf'}",193,36,671,162
2,サポートベクターマシン(linear),0.6606520337392598,"{'C': 10, 'class_weight': 'balanced', 'degree': 1, 'gamma': 0.01, 'kernel': 'linear'}",195,34,674,159
3,ガウシアンナイーブベイズ,0.15863113804473755,no-setting,41,188,816,17
4,ベルヌーイナイーブベイズ,0.5324680090376762,no-setting,153,76,720,113
5,ロジスティック回帰,0.6623924679041922,no-setting,191,38,690,143
6,k近傍法,0.5114884381700279,"{'algorithm': 'auto', 'leaf_size': 20, 'n_neighbors': 7}",135,94,768,65
7,勾配ブースティング,0.5389946371561725,"{'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 20, 'min_samples_split': 7, 'subsample': 0.7}",138,91,780,53
8,ランダムフォレスト,0.45209350115592084,no-setting,117,112,784,49
,model name,TSS Value,setting,TP,FN,TN,FP
0,サポートベクターマシン(ploy),0.6523293164259322,"{'C': 2, 'class_weight': 'balanced', 'degree': 1, 'gamma': 0.7000000000000002, 'kernel': 'poly'}",197,32,659,173
1,サポートベクターマシン(RBFカーネル),0.6396697598253275,"{'C': 9, 'class_weight': 'balanced', 'degree': 1, 'gamma': 0.01, 'kernel': 'rbf'}",193,36,663,169
2,サポートベクターマシン(linear),0.6542922824991603,"{'C': 15, 'class_weight': 'balanced', 'degree': 1, 'gamma': 0.01, 'kernel': 'linear'}",198,31,657,175
3,ガウシアンナイーブベイズ,0.10784766543500167,no-setting,28,201,820,12
4,ベルヌーイナイーブベイズ,0.5200862865300637,no-setting,148,81,727,105
5,ロジスティック回帰,0.649925470272086,no-setting,197,32,657,175
6,k近傍法,0.4903216325159557,"{'algorithm': 'auto', 'leaf_size': 20, 'n_neighbors': 7}",131,98,764,68
7,勾配ブースティング,0.5380364040980853,"{'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 70, 'min_samples_split': 3, 'subsample': 0.6}",140,89,771,61
8,ランダムフォレスト,0.44557230433322137,no-setting,118,111,774,58
,model name,TSS Value,setting,TP,FN,TN,FP
0,サポートベクターマシン(ploy),0.6130862010796221,"{'C': 2, 'class_weight': 'balanced', 'degree': 1, 'gamma': 1.2000000000000004, 'kernel': 'poly'}",185,43,667,165
1,サポートベクターマシン(RBFカーネル),0.603597334682861,"{'C': 11, 'class_weight': 'balanced', 'degree': 1, 'gamma': 0.01, 'kernel': 'rbf'}",179,49,681,151
2,サポートベクターマシン(linear),0.6142881241565452,"{'C': 2, 'class_weight': 'balanced', 'degree': 1, 'gamma': 0.01, 'kernel': 'linear'}",185,43,668,164
3,ガウシアンナイーブベイズ,0.5301324224021593,no-setting,148,80,733,99
4,ベルヌーイナイーブベイズ,0.5682144062078274,no-setting,166,62,699,133
5,ロジスティック回帰,0.6163335020242915,no-setting,183,45,677,155
6,k近傍法,0.4888663967611336,"{'algorithm': 'auto', 'leaf_size': 20, 'n_neighbors': 7}",129,99,768,64
7,勾配ブースティング,0.5235956477732793,"{'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 80, 'min_samples_split': 6, 'subsample': 0.8999999999999999}",135,93,775,57
8,ランダムフォレスト,0.4375,no-setting,114,114,780,52
