,Source_Name,Conf_68_SemiMajor,Conf_68_SemiMinor,Conf_95_PosAng,ROI_num,Extended_Source_Name,Signif_Avg,Pivot_Energy,Flux1000,Unc_Flux1000,Energy_Flux100,Unc_Energy_Flux100,SpectrumType,PL_Flux_Density,Unc_PL_Flux_Density,PL_Index,Unc_PL_Index,LP_Flux_Density,Unc_LP_Flux_Density,LP_Index,Unc_LP_Index,LP_beta,LP_SigCurv,PLEC_Flux_Density,Unc_PLEC_Flux_Density,PLEC_Index,Unc_PLEC_Index,PLEC_Expfactor,Unc_PLEC_Expfactor,PLEC_Exp_Index,PLEC_SigCurv,Npred,Variability_Index,Frac_Variability,Unc_Frac_Variability,CLASS1,Flags,Flux50_100,Flux300_1000,Flux1000_3000,Flux3000_10000,Flux10000_30000,Flux30000_100000,AGNness,PSRness
2,4FGL J0001.2-0747,0.018440146,0.017576728,64.1,1065,,22.748436,1272.3579,8.397412e-10,6.210809e-11,9.440178e-12,6.5065303e-13,PowerLaw,5.775262e-13,3.8504878e-14,2.1483262,0.052848384,6.168165e-13,4.9127437e-14,2.112588,0.06558173,0.04727811,1.417618,6.038487e-13,4.5671925e-14,2.024555,0.11915199,0.00087994453,0.000833099,0.6666667,1.3473072,964.35376,16.869194,0.21193315,0.10133888,bll,0,8.459673850325089e-09,2.6622608562121286e-09,5.641679345913531e-10,2.2159715729053175e-10,2.711014225609265e-11,7.646548325079827e-12,AGN,Non-PSR
3,4FGL J0001.5+2113,0.026025891,0.02399069,-60.52,1052,,30.666046,376.39575,9.679271e-10,6.664196e-11,1.926035e-11,8.209581e-13,LogParabola,2.456884e-11,9.654817e-13,2.6801705,0.03160488,2.8544818e-11,1.3323774e-12,2.5975513,0.04493158,0.14800178,5.091225,2.770607e-11,1.2545347e-12,2.2559347,0.09734816,0.008391433,0.0019107913,0.6666667,5.1336784,3110.8848,920.6774,1.2660484,0.34029126,fsrq,0,6.076074043903645e-08,7.970705873105999e-09,9.529729227963912e-10,6.216166470451867e-11,7.739318016205914e-15,4.367664776721512e-16,AGN,Non-PSR
7,4FGL J0002.8+6217,0.016528292,0.015788218,3.84,1389,,27.668653,1326.5831,2.568837e-09,1.2585273e-10,1.8611144e-11,1.5058056e-12,PLSuperExpCutoff,1.5252416e-12,7.322932e-14,2.4731266,0.034980703,2.1236194e-12,1.13342095e-13,2.3412225,0.07613683,0.42859668,9.461157,2.0840447e-12,1.088479e-13,1.1812959,0.19059318,0.0130063975,0.0018857798,0.6666667,9.680294,2344.4587,4.7018147,0.0,10.0,PSR,0,2.8459110068546067e-11,7.763123477388945e-09,2.1262820393275206e-09,3.2920832726546223e-10,1.7072552139368868e-12,1.6272709938704947e-15,Non-AGN,PSR
9,4FGL J0003.2+2207,0.06006924,0.05328524,-75.21,1052,,4.199248,2339.043,1.4516446e-10,3.733854e-11,1.7323027e-12,5.317863e-13,PowerLaw,2.6846196e-14,6.8901514e-15,2.275706,0.22956596,2.3520065e-14,1.13899114e-14,0.43892384,0.5404578,0.99964654,1.7167196,2.898313e-14,1.0761166e-14,0.00074892124,0.05938773,0.010533763,0.0024197397,0.6666667,1.6868781,212.16591,4.7351174,0.0,9.999999,bll,0,1.2774459712261432e-08,5.78100567416584e-10,1.704875476904455e-11,6.386913914413483e-11,3.3597319804706816e-12,1.071724814689632e-17,AGN,Non-PSR
14,4FGL J0003.9-1149,0.03231651,0.030774692,-31.93,1082,,10.233945,1680.0156,2.8707606e-10,4.0498768e-11,3.2111015e-12,4.419565e-13,PowerLaw,1.0792269e-13,1.4788535e-14,2.1277146,0.098390564,1.4417139e-13,2.347718e-14,2.0007017,0.17358784,0.26229075,2.7669735,1.3910841e-13,2.3200063e-14,1.3456585,0.41594663,0.0059486376,0.0033132231,0.6666667,2.7309043,327.23553,4.7231445,0.0,10.0,bll,0,3.2149096210708217e-13,7.00282887233783e-10,2.6036420242014913e-10,6.355198312046895e-11,1.3107374560727969e-11,2.5258310586714755e-20,AGN,Non-PSR
17,4FGL J0004.4-4737,0.027814401,0.02528582,-9.35,1288,,19.205418,845.39923,4.8566245e-10,4.3817103e-11,6.5130097e-12,4.719263e-13,PowerLaw,1.0320927e-12,7.422343e-14,2.4149895,0.06283799,1.1205907e-12,9.626509e-14,2.3563406,0.08525738,0.07762944,1.6479105,1.1086034e-12,8.944046e-14,2.161555,0.1629187,0.0026395365,0.00165742,0.6666667,2.1042888,1063.8132,123.41303,0.83265644,0.23491071,fsrq,0,2.8704123522516056e-08,2.1586010756635687e-09,4.013488708043411e-10,9.121785271570815e-11,5.8601903711597014e-12,8.9237747965702e-16,AGN,Non-PSR
20,4FGL J0005.9+3824,0.05710895,0.046809603,60.9,719,,14.65977,544.74713,4.5405948e-10,4.8767896e-11,8.3591545e-12,6.5798533e-13,PowerLaw,3.8237868e-12,2.943593e-13,2.6667964,0.062206063,4.4968057e-12,4.059939e-13,2.6316638,0.088459425,0.15494637,2.5308628,4.4303077e-12,4.0274313e-13,2.199851,0.22276911,0.008213385,0.003964011,0.6666667,2.5216346,1428.4226,23.272005,0.3225728,0.12107627,fsrq,0,3.337892806598575e-08,3.4995941700088906e-09,3.9453529332433845e-10,3.6396986119457964e-11,4.4932755975148064e-13,4.506285689006618e-16,AGN,Non-PSR
21,4FGL J0006.3-0620,0.06753164,0.06346124,-82.71,1065,,4.12492,2028.5834,1.2589059e-10,3.344897e-11,1.4250478e-12,3.816831e-13,PowerLaw,3.1877614e-14,8.439175e-15,2.1706007,0.18550012,4.3625632e-14,1.364307e-14,2.0629766,0.32504353,0.2742178,1.4384562,4.2050947e-14,1.3123589e-14,1.3517041,0.7789327,0.0057066344,0.005508119,0.6666667,1.4229817,149.32076,18.205976,0.6143341,0.3420158,bll,0,6.2055649507897215e-09,3.2931399274183093e-10,6.737200380912967e-11,4.0439481624465756e-11,6.356208094582261e-12,4.840541301256518e-16,AGN,Non-PSR
24,4FGL J0007.0+7303,0.0045021093,0.0045021093,-49.42,233,,329.09354,1452.2994,6.6939144e-08,4.798683e-10,4.3222992e-10,3.4536588e-12,PLSuperExpCutoff,2.6641536e-11,1.7141788e-13,2.027981,0.004249912,3.7143247e-11,2.8886895e-13,1.8605095,0.008471716,0.27321246,62.408077,3.5858653e-11,2.8672466e-13,1.0445546,0.05125429,0.025026945,0.007791253,0.5479403,63.44732,36404.008,4.1237054,0.0,10.0,PSR,0,1.7700543253340584e-07,1.1343451689072026e-07,4.970272016180388e-08,1.5402221720250964e-08,1.4517599344898713e-09,5.329075028481789e-11,Non-AGN,PSR
26,4FGL J0008.0+4711,0.009744291,0.009497601,42.66,783,,42.16299,1403.9235,2.053179e-09,8.995697e-11,1.8266043e-11,1.1171772e-12,LogParabola,1.0192898e-12,4.178294e-14,2.0525768,0.031170934,1.0987101e-12,5.08419e-14,1.9346354,0.050815575,0.079398826,3.5582082,1.0692284e-12,4.756163e-14,1.8158094,0.07345087,0.0012837369,0.0003880337,0.6666667,4.026659,1864.454,7.4312587,0.017027546,0.21299335,bll,0,3.556001715310231e-08,4.224066429969753e-09,1.3695038436623008e-09,5.235068489817252e-10,1.239179731049589e-10,2.1649822559699494e-11,AGN,Non-PSR
