,GLON,GLAT,proba_AGN,proba_PSR,label
0,307.70898,-42.729538,0.9999810647092885,1.8935290711512355e-05,AGNlike
1,109.38164,-36.411484,0.9737974971565565,0.026202502843443446,AGNlike
3,116.52632,-5.0228662,0.9984704107478009,0.0015295892521991943,AGNlike
4,336.9915,-73.84534000000002,0.9999998246910579,1.7530894214633084e-07,AGNlike
6,114.92035,-15.869719,0.9999976913119797,2.3086880202763845e-06,AGNlike
7,119.14811,6.885729,0.9999965177039045,3.4822960954556745e-06,AGNlike
8,110.91511,-36.72459,0.9999633210453897,3.6678954610310555e-05,AGNlike
9,319.3951,-65.54536,0.9999928407935843,7.159206415660825e-06,AGNlike
11,108.90927,-43.96513,0.9998745648684586,0.0001254351315414165,AGNlike
12,83.705765,-73.91203,0.9999976028977741,2.397102225985016e-06,AGNlike
13,320.38864,-69.86521,0.9991588444433187,0.0008411555566812467,AGNlike
14,309.86963,-57.381134,0.9999999970968196,2.903180408890294e-09,AGNlike
15,321.8499,-73.93347,0.9999999997595647,2.4043529654831877e-10,AGNlike
16,114.974655,-38.41322,0.9999999981304897,1.8695103439577883e-09,AGNlike
17,314.39056,-67.90782,0.9999992039254233,7.960745767212461e-07,AGNlike
18,104.761604,-69.51759,0.9999896792950506,1.0320704949491152e-05,AGNlike
20,308.3834,-60.11082,0.9999998273169123,1.726830876901339e-07,AGNlike
21,121.13443,1.8261667,0.9425701309366532,0.05742986906334674,AGNlike
22,100.58408,-79.825195,0.9999984346210096,1.565378990397113e-06,AGNlike
23,36.389965,-86.83259,0.9994206078450117,0.000579392154988229,AGNlike
25,120.615395,-20.753937,0.9999994817964037,5.182035963066513e-07,AGNlike
26,112.1175,-83.1215,0.9999989812965925,1.0187034074691322e-06,AGNlike
27,303.49277,-46.309517,0.9999959198922493,4.080107750710216e-06,AGNlike
30,123.732124,-17.740635,0.9985449909673286,0.0014550090326713892,AGNlike
31,123.49776,5.3709292,0.9997554639772469,0.00024453602275310106,AGNlike
32,123.66344,0.57604647,0.9999999930100794,6.989920667185401e-09,AGNlike
33,123.53306,6.396929,0.999963075377296,3.6924622703974445e-05,AGNlike
34,299.2362,-71.02254,0.9999999970921775,2.9078225063447338e-09,AGNlike
35,300.73035,-60.18506,0.990623062214203,0.009376937785796976,AGNlike
36,300.84314,-54.403248,0.99999649003424,3.5099657600497837e-06,AGNlike
37,124.92797,-17.86201,0.9996682502884883,0.0003317497115117251,AGNlike
38,127.39341,-52.764793,0.9986283649020052,0.0013716350979947735,AGNlike
39,132.989,-70.92556,0.999591001847756,0.00040899815224400054,AGNlike
40,127.72831,-27.977003000000003,0.9916815792360836,0.008318420763916451,AGNlike
41,236.6043,-84.2885,0.9999918123419176,8.187658082370769e-06,AGNlike
43,296.8381,-56.66605,0.9968433429322235,0.0031566570677764435,AGNlike
44,136.17094,-57.039967,0.9999061643537205,9.383564627952397e-05,AGNlike
45,301.32455,-37.297035,0.9999999878308131,1.2169186919602e-08,AGNlike
46,296.34128,-53.627823,0.9999994275705575,5.724294424599665e-07,AGNlike
47,297.91083,-49.010098,0.9999844252410744,1.5574758925540186e-05,AGNlike
48,133.17609,-37.95704,0.9999999931008271,6.899172932708975e-09,AGNlike
49,290.05676,-62.33528,0.9999296760681591,7.032393184087116e-05,AGNlike
50,154.01998999999995,-70.31441,0.9978978797172462,0.0021021202827538575,AGNlike
51,244.7201,-78.62133,0.9999571553181106,4.2844681889388384e-05,AGNlike
52,192.49397,-78.132126,0.9466672565009461,0.05333274349905397,AGNlike
53,126.94713,8.414599,0.9999639328371759,3.606716282415244e-05,AGNlike
54,280.91638,-67.46981,0.9983614907693807,0.0016385092306192514,AGNlike
55,127.93481,4.459727,0.9715402186857885,0.028459781314211435,AGNlike
56,129.50565,-2.1973364,0.9971632568636387,0.0028367431363613325,AGNlike
58,131.96813999999998,-7.508969,0.9999999897487288,1.025127121921933e-08,AGNlike
59,153.99018999999996,-58.14662,0.9997477867872739,0.0002522132127260562,AGNlike
60,205.71896,-75.13678,0.9999999999928707,7.129248666559009e-12,AGNlike
61,147.38742,-47.16051,0.9999416741259145,5.832587408554098e-05,AGNlike
62,138.85968,-27.553938,0.999999996370837,3.629162988773509e-09,AGNlike
63,140.86646000000005,-30.656414,0.9999934889663371,6.511033662931479e-06,AGNlike
65,143.97766,-33.213352,0.9999766334554065,2.33665445934947e-05,AGNlike
66,132.09172,0.885798,0.9799992221088061,0.02000077789119389,AGNlike
68,278.26434,-59.439705,0.9999997835575202,2.1644247984709803e-07,AGNlike
69,137.51425,-9.997538,0.9999998978030653,1.0219693466004056e-07,AGNlike
70,146.1344,-28.999453000000006,0.9997209693929227,0.0002790306070773717,AGNlike
71,278.4642,-56.925102,0.9999623718575571,3.762814244292887e-05,AGNlike
72,128.05937,15.830147,0.9999384579385223,6.154206147767088e-05,AGNlike
73,154.16728,-39.57315,0.9996126420225917,0.00038735797740827065,AGNlike
74,145.00188,-23.465021,0.9998413341299276,0.00015866587007238008,AGNlike
78,174.55476000000004,-54.39060600000001,0.9999999106472204,8.935277961431783e-08,AGNlike
79,141.86678999999995,-10.73122,0.9999862274062389,1.3772593761090487e-05,AGNlike
80,264.79352,-59.122177,0.9991494955031206,0.0008505044968794303,AGNlike
81,201.90068,-61.187057,0.9992626933728795,0.0007373066271205116,AGNlike
82,241.66917,-62.75466,0.9999998723415202,1.2765847976626614e-07,AGNlike
83,219.9578,-63.16685500000001,0.9999999009562527,9.904374733438547e-08,AGNlike
84,133.05244,10.397166,0.9968096931510971,0.0031903068489028638,AGNlike
85,170.74868999999995,-44.826824,0.9999995405208909,4.5947910913393495e-07,AGNlike
86,273.40692,-52.71015500000001,0.9999999987707924,1.2292076586097491e-09,AGNlike
87,151.80461,-21.519827,0.9999836963863226,1.630361367749284e-05,AGNlike
88,139.97336,-1.1731087,0.9925449206967601,0.00745507930323985,AGNlike
90,258.67087000000004,-56.538757,0.999999998139011,1.8609889996255135e-09,AGNlike
92,162.51157,-31.580492,0.9999989395788315,1.0604211685405309e-06,AGNlike
93,291.90625,-38.78273400000001,0.9998542114594495,0.0001457885405504415,AGNlike
94,157.3119,-24.727674,0.9954266784951389,0.00457332150486111,AGNlike
95,144.81888,-6.147501,0.9987474118640041,0.0012525881359959589,AGNlike
96,259.68732,-55.260857,0.9988255477994146,0.0011744522005854056,AGNlike
97,161.34569,-24.651138,0.9999916816080506,8.318391949408014e-06,AGNlike
98,257.45047,-53.26914,0.9999998648888442,1.3511115580016447e-07,AGNlike
99,140.70706,3.9219084,0.9843713369473167,0.015628663052683258,AGNlike
100,197.75139,-49.97398,0.9999991640063995,8.359936004015234e-07,AGNlike
103,228.62848,-54.644314,0.9999999999008271,9.917283898185938e-11,AGNlike
104,222.41309,-54.09932,0.9999996147695333,3.852304667852958e-07,AGNlike
105,133.08284,15.5278635,0.9261111963617144,0.07388880363828566,AGNlike
106,164.61195,-24.741873,0.9999795866951506,2.0413304849374198e-05,AGNlike
108,160.21903999999995,-18.36376,0.9995816736664263,0.0004183263335737862,AGNlike
109,277.24048,-44.547157,0.999999698106666,3.018933339858688e-07,AGNlike
110,160.49614,-17.246677,0.9996853606230884,0.00031463937691159793,AGNlike
114,165.06317,-15.846429,0.9998405278998425,0.0001594721001575533,AGNlike
115,184.61214,-32.053356,0.9999998178821311,1.821178688545946e-07,AGNlike
116,267.7967,-44.4116,0.9991887691264212,0.0008112308735788525,AGNlike
117,169.287,-18.876911,0.9998304724281913,0.0001695275718087035,AGNlike
118,241.17305,-47.41337,0.9960591632665601,0.003940836733439916,AGNlike
120,195.4647,-36.191944,0.9998525897817359,0.0001474102182641946,AGNlike
121,155.9795,-4.0844064,0.9999982297358792,1.7702641209022545e-06,AGNlike
122,147.84787,4.502063,0.9999739798130867,2.6020186913352737e-05,AGNlike
125,204.1875,-37.316967,0.9812991766218505,0.018700823378149514,AGNlike
127,189.68898,-28.75516,0.999999195698947,8.043010530322572e-07,AGNlike
129,279.1443,-38.551704,0.9999999973113889,2.68861105901813e-09,AGNlike
131,168.1489,-10.0205345,0.9847207815504921,0.015279218449507862,AGNlike
133,286.03894,-35.183907,0.9999985004471659,1.4995528341752084e-06,AGNlike
134,247.29578,-41.943344,0.9999888684920754,1.1131507924681173e-05,AGNlike
135,296.4673,-30.58513,0.9998625036389346,0.00013749636106544517,AGNlike
136,262.9018,-40.36736,0.9996591944991651,0.0003408055008349479,AGNlike
137,166.40129,-6.503557700000001,0.9978319751534301,0.0021680248465698743,AGNlike
138,237.51018,-40.132076,0.999889314408855,0.00011068559114501624,AGNlike
139,183.25938,-18.923176,0.997191720962428,0.002808279037571988,AGNlike
141,220.48804,-36.047104,0.9999999842599281,1.5740071873983918e-08,AGNlike
142,155.99199,4.6304154,0.9927182202289627,0.007281779771037236,AGNlike
143,173.6168,-9.521301,0.9999977233130948,2.2766869052232482e-06,AGNlike
144,142.83818,15.154042,0.9998733123819773,0.00012668761802268034,AGNlike
145,262.0749,-37.85432,0.9999739808229056,2.6019177094403977e-05,AGNlike
146,173.581,-7.042043700000002,0.9924225789058742,0.0075774210941258295,AGNlike
148,206.38472,-26.213057,0.9997886456926807,0.00021135430731928425,AGNlike
149,172.27283,-3.4122436,0.9999382557364467,6.174426355328591e-05,AGNlike
150,223.49472000000003,-31.05827,0.9998213823028032,0.00017861769719689288,AGNlike
153,192.3084,-12.677808,0.9926919776095715,0.007308022390428484,AGNlike
154,145.55891,17.063442000000002,0.9999671189704801,3.288102951990776e-05,AGNlike
155,227.96182,-28.385183,0.9999995723652705,4.2763472955138766e-07,AGNlike
156,205.5505,-19.197758,0.9924921555114579,0.007507844488542153,AGNlike
158,174.26027,0.3575937,0.9814322763227494,0.018567723677250528,AGNlike
160,171.23119,2.6508524,0.9999558891667863,4.41108332136291e-05,AGNlike
161,262.0898,-32.68844,0.9762533076462335,0.023746692353766457,AGNlike
162,195.39026,-12.126673,0.9999989790163151,1.020983684936194e-06,AGNlike
164,195.31013,-11.466014,0.9999998423090329,1.5769096704167163e-07,AGNlike
166,272.9448,-32.073387,0.9999995098564765,4.901435234962079e-07,AGNlike
167,287.282,-30.582247,0.9999079339679204,9.206603207960657e-05,AGNlike
168,198.3665,-12.429696,0.99999995612305,4.387694999447017e-08,AGNlike
169,156.38763,12.950008,0.9999941970454811,5.802954518860457e-06,AGNlike
171,300.43027,-27.781254,0.9999998094046226,1.905953773875342e-07,AGNlike
172,209.02463,-16.977465,0.9906273522254093,0.009372647774590662,AGNlike
173,185.2363,-3.5079103,0.9999991974589925,8.02541007484347e-07,AGNlike
174,159.82693,11.75569,0.999538270934906,0.00046172906509396534,AGNlike
175,152.54977,15.737077,0.9913278532708175,0.008672146729182503,AGNlike
176,213.75029,-18.678402,0.9999999833455154,1.6654484615974645e-08,AGNlike
177,215.66595,-19.334515,0.9971224630181891,0.0028775369818109723,AGNlike
178,250.34694,-28.998217,0.9999913934717966,8.606528203473663e-06,AGNlike
179,183.23953,-0.5631736999999999,0.9140029528454993,0.08599704715450077,AGNlike
181,164.07498,11.043522,0.9999518368311272,4.816316887274598e-05,AGNlike
183,258.22327,-29.532024,0.9999774650883858,2.2534911614203702e-05,AGNlike
184,214.26372,-16.652565,0.9993074072829232,0.0006925927170767723,AGNlike
185,209.02574,-14.076961,0.9999374211952065,6.257880479356329e-05,AGNlike
187,251.65219,-27.952835,0.9999648596011935,3.5140398806495266e-05,AGNlike
188,226.81735,-20.877516,0.9844831738327449,0.015516826167255098,AGNlike
190,269.95184,-29.485565,0.9670976168790602,0.032902383120939876,AGNlike
