,GLON,GLAT,proba_AGN,proba_PSR,label
0,307.70898,-42.729538,0.9999746922356973,2.5307764302483556e-05,AGNlike
1,109.38164,-36.411484,0.981411682394441,0.018588317605558985,AGNlike
3,116.52632,-5.0228662,0.9989882555735251,0.0010117444264748695,AGNlike
4,336.9915,-73.84534000000002,0.9999993269276751,6.730723248174101e-07,AGNlike
6,114.92035,-15.869719,0.9999925985203219,7.401479678213981e-06,AGNlike
7,119.14811,6.885729,0.9999975353313814,2.464668618667566e-06,AGNlike
8,110.91511,-36.72459,0.9999088262976641,9.117370233596322e-05,AGNlike
9,319.3951,-65.54536,0.9999875166032024,1.2483396797661137e-05,AGNlike
11,108.90927,-43.96513,0.9998571995285279,0.0001428004714720085,AGNlike
12,83.705765,-73.91203,0.999996826277611,3.173722389161607e-06,AGNlike
13,320.38864,-69.86521,0.9977711299810917,0.0022288700189082742,AGNlike
14,309.86963,-57.381134,0.9999998999999902,1.0000000994736041e-07,AGNlike
15,321.8499,-73.93347,0.9999998999999902,1.0000000994736041e-07,AGNlike
16,114.974655,-38.41322,0.9999998999999902,1.0000000994736041e-07,AGNlike
17,314.39056,-67.90782,0.9999993001539745,6.998460255278277e-07,AGNlike
18,104.761604,-69.51759,0.9999153435945963,8.465640540372525e-05,AGNlike
20,308.3834,-60.11082,0.9999998177262281,1.8227377188178128e-07,AGNlike
21,121.13443,1.8261667,0.9900812663055553,0.009918733694444667,AGNlike
22,100.58408,-79.825195,0.9999924441049707,7.555895029282163e-06,AGNlike
23,36.389965,-86.83259,0.9978783293730474,0.002121670626952619,AGNlike
25,120.615395,-20.753937,0.999998264699362,1.7353006380517433e-06,AGNlike
26,112.1175,-83.1215,0.9999980173729587,1.982627041337847e-06,AGNlike
27,303.49277,-46.309517,0.9999678032367745,3.21967632255773e-05,AGNlike
28,303.44296,-53.33411,0.9918939657677409,0.008106034232259128,AGNlike
29,123.01039,1.8703632,0.9346129099068385,0.06538709009316115,AGNlike
30,123.732124,-17.740635,0.9989256818451188,0.0010743181548811087,AGNlike
31,123.49776,5.3709292,0.9990469319303378,0.000953068069662293,AGNlike
32,123.66344,0.57604647,0.9999998999999902,1.0000000994736041e-07,AGNlike
33,123.53306,6.396929,0.9998408327195069,0.00015916728049320612,AGNlike
34,299.2362,-71.02254,0.9999998999999902,1.0000000994736041e-07,AGNlike
35,300.73035,-60.18506,0.9986114276857787,0.00138857231422116,AGNlike
36,300.84314,-54.403248,0.9999900294719627,9.970528037304966e-06,AGNlike
37,124.92797,-17.86201,0.9998956001977962,0.00010439980220364375,AGNlike
38,127.39341,-52.764793,0.9994959506058797,0.0005040493941204067,AGNlike
39,132.989,-70.92556,0.9989148089396482,0.0010851910603518443,AGNlike
40,127.72831,-27.977003000000003,0.9907667922996773,0.009233207700322687,AGNlike
41,236.6043,-84.2885,0.9999996372794652,3.627205349454907e-07,AGNlike
43,296.8381,-56.66605,0.9971212612496333,0.0028787387503668616,AGNlike
44,136.17094,-57.039967,0.9996325558154814,0.00036744418451862984,AGNlike
45,301.32455,-37.297035,0.9999998999999902,1.0000000994736041e-07,AGNlike
46,296.34128,-53.627823,0.9999971790674906,2.8209325094750246e-06,AGNlike
47,297.91083,-49.010098,0.9999385932167899,6.140678320999508e-05,AGNlike
48,133.17609,-37.95704,0.9999998999999902,1.0000000994736041e-07,AGNlike
49,290.05676,-62.33528,0.9998464112238264,0.00015358877617361173,AGNlike
50,154.01998999999995,-70.31441,0.9994426032646866,0.0005573967353134658,AGNlike
51,244.7201,-78.62133,0.9997799859355293,0.00022001406447070377,AGNlike
52,192.49397,-78.132126,0.992851420049371,0.007148579950628983,AGNlike
53,126.94713,8.414599,0.9999735053869319,2.649461306817351e-05,AGNlike
54,280.91638,-67.46981,0.9967431494073563,0.003256850592643568,AGNlike
56,129.50565,-2.1973364,0.9947349567974685,0.005265043202531455,AGNlike
58,131.96813999999998,-7.508969,0.9999998999999902,1.0000000994736041e-07,AGNlike
59,153.99018999999996,-58.14662,0.9999289655085307,7.103449146935759e-05,AGNlike
60,205.71896,-75.13678,0.9999998999999902,1.0000000994736041e-07,AGNlike
61,147.38742,-47.16051,0.9998724406039992,0.00012755939600090076,AGNlike
62,138.85968,-27.553938,0.9999998999999902,1.0000000994736041e-07,AGNlike
63,140.86646000000005,-30.656414,0.9999747318149617,2.5268185038490897e-05,AGNlike
65,143.97766,-33.213352,0.9999557514792177,4.424852078240473e-05,AGNlike
66,132.09172,0.885798,0.9769958642811992,0.023004135718800715,AGNlike
67,134.92581,-7.630408999999998,0.9990464587912646,0.0009535412087354787,AGNlike
68,278.26434,-59.439705,0.9999995440101103,4.5598988982851317e-07,AGNlike
69,137.51425,-9.997538,0.9999998517649391,1.4823506088398525e-07,AGNlike
70,146.1344,-28.999453000000006,0.9990980621108003,0.0009019378891995884,AGNlike
71,278.4642,-56.925102,0.999857638497345,0.00014236150265501448,AGNlike
72,128.05937,15.830147,0.9999136459312379,8.635406876200094e-05,AGNlike
73,154.16728,-39.57315,0.9992662642523154,0.0007337357476846372,AGNlike
74,145.00188,-23.465021,0.9999474680950008,5.253190499915126e-05,AGNlike
75,136.81866000000002,-3.1947489,0.90880854582218,0.09119145417782004,AGNlike
78,174.55476000000004,-54.39060600000001,0.9999997964557911,2.0354420906199172e-07,AGNlike
79,141.86678999999995,-10.73122,0.9999689474622041,3.1052537795769316e-05,AGNlike
80,264.79352,-59.122177,0.9984801709901716,0.0015198290098282904,AGNlike
81,201.90068,-61.187057,0.9998827807971588,0.00011721920284119531,AGNlike
82,241.66917,-62.75466,0.9999998999999902,1.0000000994736041e-07,AGNlike
