,GLON,GLAT,proba_AGN,proba_PSR,label
2,111.004486,-30.771994,0.8515197427500243,0.14848025724997574,Otherlike
5,118.60844,5.282127,0.35002646975349033,0.6499735302465096,Otherlike
10,119.10994,6.235327,0.17978885750008364,0.8202111424999164,Otherlike
19,70.318275,-84.105675,0.8808165283723605,0.1191834716276396,Otherlike
24,121.53531,0.12189149,0.8976423239913939,0.10235767600860603,Otherlike
55,127.93481,4.459727,0.7864815060815069,0.2135184939184933,Otherlike
57,132.83993999999998,-12.919026,0.8101260830286612,0.18987391697133885,Otherlike
64,130.0389,5.082897,0.3281085245913151,0.6718914754086848,Otherlike
76,138.82658,-6.920497,0.8166148622640274,0.18338513773597256,Otherlike
77,133.35676999999998,5.912753,0.6628008500206339,0.33719914997936606,Otherlike
89,135.96774,6.464967700000001,0.7992644444663346,0.20073555553366526,Otherlike
91,191.49574,-52.37003,0.3337719436394409,0.6662280563605592,Otherlike
101,146.91196000000005,-4.6963550000000005,0.3885410911588286,0.6114589088411715,Otherlike
111,278.07047,-43.70364,0.12334201650614494,0.876657983493855,Otherlike
119,158.99518,-8.488823,0.15224161069627823,0.8477583893037216,Otherlike
130,164.09975,-8.490971,0.5756882494403921,0.42431175055960774,Otherlike
147,157.9172,5.7684875,0.5857036574205813,0.4142963425794187,Otherlike
157,192.2091,-11.278744,0.46345625825120407,0.5365437417487958,Otherlike
163,215.56586,-22.109112,0.8164378078624946,0.1835621921375054,Otherlike
165,173.39816000000005,2.4336996,0.5308187060697547,0.46918129393024527,Otherlike
189,216.56119,-15.808719,0.21364159705392116,0.7863584029460791,Otherlike
192,190.30644,0.16713028,0.1201370088224309,0.8798629911775689,Otherlike
196,194.89326,-1.3739172,0.11717582529516438,0.8828241747048357,Otherlike
216,169.2314,19.763712,0.5150125205652002,0.48498747943479964,Otherlike
226,214.63525,3.169934,0.32561612591927674,0.6743838740807232,Otherlike
228,224.34828,-0.9154729,0.6871620816086952,0.3128379183913049,Otherlike
229,275.3795,-22.16661,0.5135875652317888,0.48641243476821117,Otherlike
