,GLON,GLAT,proba_AGN,proba_PSR,label
0,307.70898,-42.729538,0.999965189491404,3.481050859600188e-05,AGNlike
1,109.38164,-36.411484,0.9995184726714104,0.0004815273285896091,AGNlike
3,116.52632,-5.0228662,0.999881860908036,0.00011813909196403453,AGNlike
4,336.9915,-73.84534000000002,0.9998802036015508,0.00011979639844917212,AGNlike
6,114.92035,-15.869719,0.9999533685324018,4.6631467598240904e-05,AGNlike
7,119.14811,6.885729,0.9999494502335404,5.0549766459523657e-05,AGNlike
8,110.91511,-36.72459,0.9999126063109642,8.739368903573316e-05,AGNlike
9,319.3951,-65.54536,0.9999164925068253,8.350749317464485e-05,AGNlike
11,108.90927,-43.96513,0.9998178589159136,0.00018214108408645438,AGNlike
12,83.705765,-73.91203,0.9999671507651084,3.284923489153203e-05,AGNlike
13,320.38864,-69.86521,0.9996342748777257,0.00036572512227433965,AGNlike
14,309.86963,-57.381134,0.9999713626457079,2.8637354292108093e-05,AGNlike
15,321.8499,-73.93347,0.9997553175976773,0.00024468240232270296,AGNlike
16,114.974655,-38.41322,0.9999818405113098,1.8159488690244166e-05,AGNlike
17,314.39056,-67.90782,0.9999850976940454,1.4902305954594209e-05,AGNlike
18,104.761604,-69.51759,0.999825325746607,0.00017467425339303758,AGNlike
19,70.318275,-84.105675,0.9609182850660662,0.039081714933933795,AGNlike
20,308.3834,-60.11082,0.9999774718181561,2.2528181843848114e-05,AGNlike
21,121.13443,1.8261667,0.9970750727404012,0.0029249272595988614,AGNlike
22,100.58408,-79.825195,0.9999033870655251,9.661293447496528e-05,AGNlike
23,36.389965,-86.83259,0.9994468732275807,0.0005531267724193038,AGNlike
25,120.615395,-20.753937,0.9999247238017269,7.527619827313133e-05,AGNlike
26,112.1175,-83.1215,0.9999806973974757,1.930260252423315e-05,AGNlike
27,303.49277,-46.309517,0.9997101482730005,0.0002898517269994313,AGNlike
28,303.44296,-53.33411,0.9365917523964262,0.06340824760357378,AGNlike
29,123.01039,1.8703632,0.9957620052071323,0.004237994792867712,AGNlike
30,123.732124,-17.740635,0.999003552788235,0.000996447211764949,AGNlike
31,123.49776,5.3709292,0.999709398058949,0.0002906019410510039,AGNlike
32,123.66344,0.57604647,0.9999682329020406,3.1767097959334156e-05,AGNlike
33,123.53306,6.396929,0.9997630364945556,0.0002369635054444904,AGNlike
34,299.2362,-71.02254,0.9998172394924411,0.00018276050755897685,AGNlike
35,300.73035,-60.18506,0.9976238524249127,0.002376147575087301,AGNlike
36,300.84314,-54.403248,0.9999273440918789,7.265590812113272e-05,AGNlike
37,124.92797,-17.86201,0.9984711835073751,0.0015288164926248746,AGNlike
38,127.39341,-52.764793,0.9998993529468166,0.00010064705318336667,AGNlike
39,132.989,-70.92556,0.9994362198066101,0.0005637801933898534,AGNlike
40,127.72831,-27.977003000000003,0.9995369535424846,0.0004630464575154084,AGNlike
41,236.6043,-84.2885,0.9997555320054032,0.00024446799459673906,AGNlike
43,296.8381,-56.66605,0.9997460567610228,0.0002539432389772217,AGNlike
44,136.17094,-57.039967,0.9998111823689703,0.0001888176310297443,AGNlike
45,301.32455,-37.297035,0.9996803699208455,0.0003196300791545194,AGNlike
46,296.34128,-53.627823,0.9999111479570638,8.88520429362191e-05,AGNlike
47,297.91083,-49.010098,0.9995540577350644,0.0004459422649355423,AGNlike
48,133.17609,-37.95704,0.9999787572962348,2.1242703765248325e-05,AGNlike
49,290.05676,-62.33528,0.9997441739729963,0.000255826027003691,AGNlike
50,154.01998999999995,-70.31441,0.9992331472946605,0.0007668527053394388,AGNlike
51,244.7201,-78.62133,0.9997281722762471,0.00027182772375294027,AGNlike
53,126.94713,8.414599,0.9999418770318401,5.812296815982713e-05,AGNlike
54,280.91638,-67.46981,0.9997471098166891,0.0002528901833109232,AGNlike
55,127.93481,4.459727,0.9417845594850257,0.05821544051497425,AGNlike
56,129.50565,-2.1973364,0.9992173292351739,0.0007826707648260411,AGNlike
57,132.83993999999998,-12.919026,0.9508853106790341,0.04911468932096582,AGNlike
58,131.96813999999998,-7.508969,0.9999768588574219,2.3141142578027734e-05,AGNlike
